Foundation Type,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE
Flood Peril Type,RLS,RLS,RLS,RLS,RHS,RHS,RHS,RHS,RLL,RLL,RLL,RLL,RHL,RHL,RHL,RHL,CST,CST,CST,CST,CMV,CMV,CMV,CMV,CHW,CHW,CHW,CHW
WSF001,597,605,605,613,631,639,647,655,630,638,646,654,632,640,648,656,598,606,606,614,599,607,607,615,600,608,608,616
WSF002-004,601,609,609,621,635,643,651,659,634,642,650,658,636,644,652,660,602,610,610,622,603,611,611,623,604,612,612,624
WMUH001-004,665,661,661,669,665,661,661,669,665,661,661,669,665,661,661,669,666,662,662,670,667,663,663,671,668,664,664,672
WLRM001-002,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,214,214,214,214,214,214,214
WLRI001-006,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,214,214,214,214,214,214,214
MSF001,597,605,605,613,631,639,647,655,630,638,646,654,632,640,648,656,598,606,606,614,599,607,607,615,600,608,608,616
MSF002-004,601,609,609,621,635,643,651,659,634,642,650,658,636,644,652,660,602,610,610,622,603,611,611,623,604,612,612,624
MSF005-007,218,218,218,217,218,218,218,217,218,218,218,217,218,218,218,217,218,218,218,217,219,219,219,217,219,219,219,217
MMUH001-004,665,661,661,669,665,661,661,669,665,661,661,669,665,661,661,669,666,662,662,670,667,663,663,671,668,664,664,672
MMUH005-007,218,218,218,217,218,218,218,217,218,218,218,217,218,218,218,217,218,218,218,217,219,219,219,217,219,219,219,217
MLRM001-002,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,216,216,216,216,216,216,216
MLRI,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,216,216,216,216,216,216,216
MERB001,597,605,605,613,631,639,647,655,630,638,646,654,632,640,648,656,598,606,606,614,599,607,607,615,600,608,608,616
MERB002-004,601,609,609,621,635,643,651,659,634,642,650,658,636,644,652,660,602,610,610,622,603,611,611,623,604,612,612,624
MERB005-030,218,218,218,217,218,218,218,217,218,218,218,217,218,218,218,217,218,218,218,217,219,219,219,217,219,219,219,217
MECB001-004,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,214,214,214,214,214,214,214
MECB005-030,218,218,218,217,218,218,218,217,218,218,218,217,218,218,218,217,218,218,218,217,219,219,219,217,219,219,219,217
CSF001,597,605,605,613,631,639,647,655,630,638,646,654,632,640,648,656,598,606,606,614,599,607,607,615,600,608,608,616
CSF002-004,601,609,609,621,635,643,651,659,634,642,650,658,636,644,652,660,602,610,610,622,603,611,611,623,604,612,612,624
CSF005-040,218,218,218,217,218,218,218,217,218,218,218,217,218,218,218,217,218,218,218,217,219,219,219,217,219,219,219,217
CERB001-004,665,661,661,669,665,661,661,669,665,661,661,669,665,661,661,669,666,662,662,670,667,663,663,671,668,664,664,672
CERB005-040,218,218,218,217,218,218,218,217,218,218,218,217,218,218,218,217,218,218,218,217,219,219,219,217,219,219,219,217
CECB001-004,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,214,214,214,214,214,214,214
CECB005-040,218,218,218,217,218,218,218,217,218,218,218,217,218,218,218,217,218,218,218,217,219,219,219,217,219,219,219,217
SPMB,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,216,216,216,216,216,216,216
SERB001,597,605,605,613,631,639,647,655,630,638,646,654,632,640,648,656,598,606,606,614,599,607,607,615,600,608,608,616
SERB002-004,601,609,609,621,635,643,651,659,634,642,650,658,636,644,652,660,602,610,610,622,603,611,611,623,604,612,612,624
SERB005-108,218,218,218,217,218,218,218,217,218,218,218,217,218,218,218,217,218,218,218,217,219,219,219,217,219,219,219,217
SECB001-004,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,214,214,214,214,214,214,214
SECB005-108,218,218,218,217,218,218,218,217,218,218,218,217,218,218,218,217,218,218,218,217,219,219,219,217,219,219,219,217
MH,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,680,680,680,680,680,680,680,680
