Foundation Type,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE
Flood Peril Type,RLS,RLS,RLS,RLS,RHS,RHS,RHS,RHS,RLL,RLL,RLL,RLL,RHL,RHL,RHL,RHL,CST,CST,CST,CST,CMV,CMV,CMV,CMV,CHW,CHW,CHW,CHW
WSF001,421,421,421,418,421,421,421,418,421,421,421,418,421,421,421,418,414,409,408,412,415,409,408,412,415,409,408,412
WSF002-004,422,422,422,419,422,422,422,419,422,422,422,419,422,422,422,419,411,411,410,413,411,411,410,413,411,411,410,413
WMUH001,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399
WMUH002-004,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
WLRM001-002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
WLRI001-006,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
MSF001,421,421,421,418,421,421,421,418,421,421,421,418,421,421,421,418,414,409,408,412,415,409,408,412,415,409,408,412
MSF002-004,422,422,422,419,422,422,422,419,422,422,422,419,422,422,422,419,411,411,410,413,411,411,410,413,411,411,410,413
MSF005-007,406,406,406,405,406,406,406,405,406,406,406,405,406,406,406,405,406,406,406,405,407,407,407,405,407,407,407,405
MMUH001,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399
MMUH002-004,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
MMUH005-007,406,406,406,405,406,406,406,405,406,406,406,405,406,406,406,405,406,406,406,405,407,407,407,405,407,407,407,405
MLRM001-002,857,857,857,857,857,857,857,857,858,858,858,858,858,858,858,858,857,857,857,857,857,857,857,857,857,857,857,857
MLRI,893,893,893,893,893,893,893,893,894,894,894,894,894,894,894,894,893,893,893,893,893,893,893,893,893,893,893,893
MERB001,421,421,421,418,421,421,421,418,421,421,421,418,421,421,421,418,414,409,408,412,415,409,408,412,415,409,408,412
MERB002-004,422,422,422,419,422,422,422,419,422,422,422,419,422,422,422,419,411,411,410,413,411,411,410,413,411,411,410,413
MERB005-030,406,406,406,405,406,406,406,405,406,406,406,405,406,406,406,405,406,406,406,405,407,407,407,405,407,407,407,405
MECB001-030,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
CSF001,421,421,421,418,421,421,421,418,421,421,421,418,421,421,421,418,414,409,408,412,415,409,408,412,415,409,408,412
CSF002-004,422,422,422,419,422,422,422,419,422,422,422,419,422,422,422,419,411,411,410,413,411,411,410,413,411,411,410,413
CSF005-040,406,406,406,405,406,406,406,405,406,406,406,405,406,406,406,405,406,406,406,405,407,407,407,405,407,407,407,405
CERB001,421,421,421,418,421,421,421,418,421,421,421,418,421,421,421,418,414,409,408,412,415,409,408,412,415,409,408,412
CERB002-004,422,422,422,419,422,422,422,419,422,422,422,419,422,422,422,419,411,411,410,413,411,411,410,413,411,411,410,413
CERB005-040,406,406,406,405,406,406,406,405,406,406,406,405,406,406,406,405,406,406,406,405,407,407,407,405,407,407,407,405
CECB001-040,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SPMB,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SERB001,421,421,421,418,421,421,421,418,421,421,421,418,421,421,421,418,414,409,408,412,415,409,408,412,415,409,408,412
SERB002-004,422,422,422,419,422,422,422,419,422,422,422,419,422,422,422,419,411,411,410,413,411,411,410,413,411,411,410,413
SERB005-108,406,406,406,405,406,406,406,405,406,406,406,405,406,406,406,405,406,406,406,405,407,407,407,405,407,407,407,405
SECB001-108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
MH,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,427,427,427,427,427,427,427,427
