Foundation Type,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE
Flood Peril Type,RLS,RLS,RLS,RLS,RHS,RHS,RHS,RHS,RLL,RLL,RLL,RLL,RHL,RHL,RHL,RHL,CST,CST,CST,CST,CMV,CMV,CMV,CMV,CHW,CHW,CHW,CHW
COM1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
COM2,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
IND1,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
IND2,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
IND3,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
IND4,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
IND5,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
IND6,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
AGR1,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
