accntnum,location,BLDG_DED,BLDG_LIMIT,CNT_DED,CNT_LIMIT,STATE,POSTCODE,COUNTRY,LON,LAT,BLDG_VALUE,CNT_VALUE,CONSTR_CODE,NUM_STORIES,YEAR_BUILT,foundationtype,BasementFinishType,FIRST_FLOOR_ELEV,BASE_FLOOD_ELEV,elev_ft
1-WA01048166,WA01048166,3000,250000,3000,100000,WA,98106,US,-122.363102,47.544744,630902,365458,2,2,1901,8,0,1,unknown,185.59618048
1-WA01048038,WA01048038,0,0,4000,100000,WA,98106,US,-122.356894,47.544653,0,388989,1,3,2004,4,0,4,unknown,266.12690812
1-WA01048102,WA01048102,4000,250000,0,0,WA,98126,US,-122.369516,47.544699,1462836,0,1,3,1929,6,0,5,unknown,362.62135347
1-WA01048006,WA01048006,5000,35464,3000,100000,WA,98106,US,-122.357392,47.544637,1115779,934189,2,2,2004,6,0,8,unknown,265.8770984
1-WA01048070,WA01048070,1500,250000,0,0,WA,98106,US,-122.35937,47.544677,1149479,0,1,1,1981,2,1,3,unknown,259.4733646
1-WA01048198,WA01048198,2000,191799,1250,100000,WA,98118,US,-122.28052,47.544762,284785,717371,1,3,1985,7,0,6,unknown,133.63405611
1-WA01047429,WA01047429,2000,187767,1250,100000,WA,98108,US,-122.319684,47.544353,798135,680213,2,1,1985,4,0,4,unknown,19.68093895
1-WA01047493,WA01047493,3000,250000,2000,79891,WA,98126,US,-122.369396,47.544384,2145377,97077,1,1,1920,2,1,4,unknown,364.98273806
1-WA01048454,WA01048454,3000,191945,3000,100000,WA,98106,US,-122.35939,47.544914,1834635,523333,2,3,1964,4,0,4,unknown,257.08897804
1-WA01047871,WA01047871,5000,250000,0,0,WA,98126,US,-122.370363,47.54456,969992,0,1,1,1906,9,0,8,unknown,355.25095297
1-WA01048054,WA01048054,2000,48358,1000,100000,WA,98126,US,-122.367905,47.544666,221220,1158298,2,3,2000,7,0,9,unknown,351.26151715
1-WA01048406,WA01048406,10000,250000,10000,13864,WA,98118,US,-122.279323,47.544885,1060764,44619,1,3,1935,9,0,8,unknown,152.42856131
1-WA01047541,WA01047541,3000,250000,3000,100000,WA,98118,US,-122.279355,47.544417,1686897,893157,1,3,1912,7,0,2,unknown,147.83864646
1-WA01048534,WA01048534,3000,250000,0,0,WA,98108,US,-122.294419,47.544955,982616,0,1,1,1931,4,0,3,unknown,264.7080859
1-WA01048639,WA01048639,4000,250000,3000,42229,WA,98118,US,-122.290603,47.545019,772013,244844,1,1,2015,7,0,6,unknown,251.40270161
1-WA01047806,WA01047806,4000,250000,3000,100000,WA,98126,US,-122.370513,47.544532,1598605,672730,2,2,1989,6,0,5,unknown,353.13394503
1-WA01048031,WA01048031,4000,250000,2000,100000,WA,98126,US,-122.369501,47.544648,1556820,711347,2,1,1910,7,0,8,unknown,362.62135347
1-WA01048046,WA01048046,1500,250000,1250,100000,WA,98108,US,-122.293976,47.54466,1708504,1247945,2,2,2006,7,0,3,unknown,261.55462779
1-WA01048110,WA01048110,1500,250000,0,0,WA,98108,US,-122.296593,47.544704,1271254,0,1,1,2001,4,0,4,unknown,279.17630158
1-WA01048174,WA01048174,1500,250000,1250,100000,WA,98126,US,-122.369825,47.544747,1396652,643382,1,2,1912,9,0,9,unknown,360.0505627
1-WA01048222,WA01048222,2000,250000,2000,100000,WA,98118,US,-122.283674,47.544776,1911895,487067,1,2,1979,7,0,7,unknown,134.3320417
1-WA01048238,WA01048238,5000,250000,5000,6000,WA,98126,US,-122.369097,47.544791,1660447,25774,1,3,1914,7,0,2,unknown,357.95110397
1-WA01047437,WA01047437,0,0,1250,32630,WA,98126,US,-122.374797,47.544357,0,101173,2,2,1919,2,1,5,unknown,374.34819439
1-WA01048318,WA01048318,0,0,1250,21248,WA,98126,US,-122.368874,47.544829,0,25496,1,2,1916,7,0,7,unknown,353.56955856
1-WA01048542,WA01048542,4000,5000,1500,60029,WA,98126,US,-122.374838,47.54496,389260,1176938,1,1,1928,4,0,3,unknown,369.37499542
1-WA01047647,WA01047647,5000,104329,4000,100000,WA,98126,US,-122.368826,47.544465,1310888,1107942,2,2,1904,8,0,0,unknown,359.82924052
1-WA01048833,WA01048833,1500,173634,1500,100000,WA,98118,US,-122.288404,47.545119,197405,479150,2,1,1972,2,1,3,unknown,213.56185395
1-WA01047743,WA01047743,2000,210978,1250,100000,WA,98108,US,-122.321364,47.5445,2148588,387156,1,1,1946,7,0,3,unknown,17.569006468
1-WA01048865,WA01048865,1250,250000,1250,100000,WA,98126,US,-122.369944,47.545132,1701599,982325,1,2,1926,7,0,8,unknown,352.00816087
1-WA01048931,WA01048931,2000,250000,1500,22654,WA,98108,US,-122.301894,47.545158,952517,152090,2,3,1942,6,0,4,unknown,285.37355572
1-WA01047775,WA01047775,2000,250000,0,0,WA,98126,US,-122.37063,47.544515,1918054,0,1,1,1962,9,0,9,unknown,352.43183214
1-WA01047834,WA01047834,4000,250000,1500,100000,WA,98108,US,-122.303435,47.544542,2077530,777434,1,3,1932,7,0,8,unknown,229.20586691
1-WA01047922,WA01047922,3000,250000,2000,27736,WA,98108,US,-122.296565,47.544584,1676030,351104,1,3,1920,7,0,3,unknown,278.11066179
1-WA01047419,WA01047419,4000,250000,1500,100000,WA,98108,US,-122.302507,47.54435,1781958,762138,1,2,1949,2,1,3,unknown,256.63018866
1-WA01048050,WA01048050,5000,110940,1500,100000,WA,98108,US,-122.304369,47.544662,627822,210355,1,1,1907,2,1,5,unknown,197.7274932
1-WA01047353,WA01047353,3000,250000,0,0,WA,98106,US,-122.356925,47.544304,646763,0,1,3,1986,4,0,3,unknown,266.14705576
1-WA01048106,WA01048106,0,0,1000,100000,WA,98108,US,-122.299044,47.544703,0,822156,2,3,1928,6,0,7,unknown,303.5448063
1-WA01048154,WA01048154,0,0,10000,11000,WA,98108,US,-122.299485,47.544736,0,11000,2,2,1934,8,0,1,unknown,306.01412397
1-WA01048210,WA01048210,2000,250000,1250,78535,WA,98118,US,-122.281492,47.544768,1405287,132484,1,1,1924,7,0,6,unknown,134.80845248
1-WA01047547,WA01047547,3000,250000,3000,100000,WA,98108,US,-122.300315,47.544419,1913047,1058037,1,1,1911,7,0,1,unknown,300.40389085
1-WA01048322,WA01048322,4000,250000,0,0,WA,98126,US,-122.369554,47.544834,1212625,0,2,3,1929,7,0,3,unknown,359.24046425
1-WA01048354,WA01048354,1250,250000,1250,100000,WA,98118,US,-122.287156,47.544858,866710,849147,1,1,2013,7,0,1,unknown,131.40425945
1-WA01047537,WA01047537,1500,76790,1000,5856,WA,98118,US,-122.280593,47.544415,1472120,176058,2,3,1951,7,0,7,unknown,132.56133626
1-WA01048527,WA01048527,4000,250000,1250,100000,WA,98118,US,-122.288296,47.544951,1047445,820022,1,3,2013,8,0,1,unknown,209.94393716
1-WA01048506,WA01048506,10000,150510,10000,92860,WA,98106,US,-122.363805,47.544942,411007,215705,2,3,1925,9,0,8,unknown,161.71011672
1-WA01048546,WA01048546,1250,250000,0,0,WA,98126,US,-122.369896,47.544963,615125,0,1,2,1997,7,0,1,unknown,355.87800023
1-WA01048763,WA01048763,1500,250000,0,0,WA,98126,US,-122.370983,47.545087,1596827,0,2,2,1934,7,0,2,unknown,347.10209444
1-WA01047601,WA01047601,4000,250000,1250,100000,WA,98126,US,-122.368957,47.544445,772428,1246584,2,1,1961,6,0,8,unknown,361.07968019
1-WA01048578,WA01048578,5000,250000,5000,100000,WA,98108,US,-122.304334,47.544982,1314083,928056,1,2,1940,8,0,1,unknown,206.7211057
1-WA01048707,WA01048707,4000,250000,4000,100000,WA,98108,US,-122.291802,47.545064,1082953,1044001,1,1,1946,4,0,2,unknown,248.26408603
1-WA01048650,WA01048650,5000,143635,3000,100000,WA,98108,US,-122.303862,47.54503,677981,1072127,1,1,1929,4,0,4,unknown,221.12106023
1-WA01048681,WA01048681,3000,103606,1250,100000,WA,98126,US,-122.370645,47.54505,251048,1260877,1,3,2017,7,0,3,unknown,348.10848227
1-WA01048697,WA01048697,3000,250000,2000,100000,WA,98106,US,-122.360897,47.54506,1639437,331485,1,3,2006,7,0,1,unknown,210.0789142
1-WA01048761,WA01048761,4000,250000,1250,100000,WA,98106,US,-122.355236,47.545085,2150144,170059,2,1,1912,2,1,3,unknown,265.72686546
1-WA01048825,WA01048825,4000,250000,0,0,WA,98106,US,-122.355736,47.545115,1722709,0,2,2,1965,6,0,7,unknown,264.91446386
1-WA01047751,WA01047751,1500,250000,1500,100000,WA,98126,US,-122.368644,47.544503,649751,1242498,1,1,2008,6,0,6,unknown,357.94840056
1-WA01047840,WA01047840,0,0,2000,100000,WA,98126,US,-122.368357,47.544548,0,1240012,1,1,1930,2,1,4,unknown,354.76435518
1-WA01047856,WA01047856,3000,250000,1500,100000,WA,98126,US,-122.375592,47.544555,782186,1114682,2,2,1920,4,0,3,unknown,376.39516624
1-WA01047895,WA01047895,5000,62500,0,0,WA,98106,US,-122.360858,47.544571,148072,0,2,1,1902,9,0,9,unknown,211.24575151
1-WA01047892,WA01047892,4000,18086,2000,100000,WA,98108,US,-122.322174,47.544569,105416,773155,1,3,2002,4,0,4,unknown,16.355797767
1-WA01047904,WA01047904,5000,250000,3000,10594,WA,98108,US,-122.295196,47.544575,494405,697559,2,2,1984,9,0,7,unknown,268.43752828
1-WA01047912,WA01047912,2000,165415,1500,100000,WA,98126,US,-122.367884,47.544579,483808,593395,2,1,2000,8,0,1,unknown,349.77310831
1-WA01048043,WA01048043,3000,250000,1250,100000,WA,98126,US,-122.367699,47.544658,1367756,393722,2,3,1917,6,0,4,unknown,348.44464698
1-WA01047944,WA01047944,3000,5510,2000,100000,WA,98106,US,-122.354556,47.544599,702729,931890,2,3,1982,9,0,8,unknown,281.00970716
1-WA01047980,WA01047980,3000,120901,3000,100000,WA,98108,US,-122.319155,47.544622,175730,974497,1,1,1936,7,0,3,unknown,20.033110877
1-WA01048044,WA01048044,4000,19888,1500,100000,WA,98108,US,-122.30106,47.544659,62625,396236,2,3,1983,7,0,8,unknown,292.86673509
1-WA01048064,WA01048064,4000,66370,2000,100000,WA,98108,US,-122.294418,47.544673,887652,1179903,2,1,1942,7,0,2,unknown,264.23437525
1-WA01048068,WA01048068,2000,250000,0,0,WA,98118,US,-122.288347,47.544676,1785795,0,2,2,1919,8,0,0,unknown,206.46642721
1-WA01048119,WA01048119,1500,250000,1500,66400,WA,98106,US,-122.362392,47.544713,2111176,537802,1,2,1902,7,0,6,unknown,189.94848705
1-WA01048100,WA01048100,10000,250000,10000,100000,WA,98108,US,-122.30197,47.544698,2034654,650863,1,1,1950,7,0,2,unknown,273.43708224
1-WA01048136,WA01048136,5000,250000,0,0,WA,98108,US,-122.32017,47.544721,1364928,0,1,2,1925,7,0,8,unknown,19.132986177
1-WA01048160,WA01048160,2000,148857,2000,73576,WA,98108,US,-122.296105,47.54474,207885,140340,1,1,1932,7,0,8,unknown,279.32818807
1-WA01048215,WA01048215,5000,250000,0,0,WA,98126,US,-122.370569,47.54477,1216819,0,2,1,1928,6,0,4,unknown,351.79054275
1-WA01048231,WA01048231,3000,219596,1500,100000,WA,98118,US,-122.283831,47.544781,1330261,847868,2,2,1937,8,0,2,unknown,133.85266176
1-WA01048208,WA01048208,0,0,1000,100000,WA,98108,US,-122.318922,47.544767,0,596693,2,3,1989,2,1,3,unknown,20.096395
1-WA01048212,WA01048212,4000,250000,0,0,WA,98108,US,-122.322003,47.544769,1294706,0,2,1,1959,4,0,3,unknown,16.531243967
1-WA01048220,WA01048220,5000,37264,2000,100000,WA,98118,US,-122.284358,47.544774,629208,1265408,1,3,1956,9,0,10,unknown,132.2134688
1-WA01048228,WA01048228,1250,250000,1250,2250,WA,98106,US,-122.361926,47.544779,1593178,8759,2,1,2004,7,0,3,unknown,191.87747661
1-WA01048264,WA01048264,1250,161730,1250,100000,WA,98118,US,-122.282119,47.544806,261998,1194764,2,2,1979,6,0,7,unknown,135.28229764
1-WA01048295,WA01048295,5000,250000,0,0,WA,98126,US,-122.374922,47.544817,1773432,0,2,1,1900,7,0,2,unknown,369.99568441
1-WA01048276,WA01048276,5000,250000,1250,37665,WA,98118,US,-122.282512,47.544809,2087730,39602,1,3,1908,4,0,2,unknown,135.23504042
1-WA01048603,WA01048603,2000,250000,1250,100000,WA,98126,US,-122.369904,47.545001,1718181,524441,1,2,1948,6,0,6,unknown,355.87800023
1-WA01048296,WA01048296,5000,250000,3000,100000,WA,98126,US,-122.374856,47.544817,1188660,1234776,2,2,1906,7,0,1,unknown,369.99568441
1-WA01048320,WA01048320,5000,39627,0,0,WA,98106,US,-122.356891,47.544831,276828,0,1,1,1930,9,0,7,unknown,266.13304001
1-WA01048427,WA01048427,5000,250000,1250,100000,WA,98118,US,-122.289363,47.544896,1311114,207680,2,3,1964,7,0,2,unknown,231.89728104
1-WA01048375,WA01048375,1250,223688,0,0,WA,98126,US,-122.370953,47.54487,494086,0,2,3,1993,2,1,4,unknown,347.52444025
1-WA01047523,WA01047523,2000,250000,1250,38189,WA,98106,US,-122.360004,47.544409,1969617,44386,1,2,2011,7,0,3,unknown,259.49291185
1-WA01048392,WA01048392,5000,250000,2000,100000,WA,98106,US,-122.359967,47.54488,1359769,1006054,1,3,1987,9,0,9,unknown,259.68662576
1-WA01047555,WA01047555,10000,250000,10000,100000,WA,98118,US,-122.279024,47.544424,696633,1138678,1,1,1978,7,0,7,unknown,151.04150418
1-WA01048444,WA01048444,0,0,1250,100000,WA,98126,US,-122.37031,47.54491,0,339198,1,1,1972,7,0,8,unknown,351.96653357
1-WA01048480,WA01048480,5000,250000,5000,100000,WA,98106,US,-122.360886,47.544925,661103,230775,1,3,1929,6,0,8,unknown,210.7261616
1-WA01048484,WA01048484,4000,250000,1250,100000,WA,98118,US,-122.278741,47.54493,1482015,833779,1,1,1985,4,0,4,unknown,152.10087101
1-WA01048496,WA01048496,4000,250000,3000,100000,WA,98108,US,-122.303641,47.544937,420252,235729,1,1,1909,8,0,2,unknown,226.28529596
1-WA01047603,WA01047603,5000,250000,1250,100000,WA,98108,US,-122.319027,47.544445,2070951,949069,1,1,1914,9,0,6,unknown,20.347694221
1-WA01048580,WA01048580,4000,13553,4000,100000,WA,98108,US,-122.297206,47.544983,1117670,1230954,1,3,1916,9,0,7,unknown,283.5876075
1-WA01048592,WA01048592,5000,250000,4000,100000,WA,98108,US,-122.319518,47.544993,1504301,998199,2,2,1942,8,0,2,unknown,19.675023595
1-WA01047635,WA01047635,4000,250000,3000,100000,WA,98118,US,-122.286359,47.54446,1617048,809922,2,2,1997,8,0,0,unknown,130.23622136
1-WA01048600,WA01048600,3000,74191,1000,100000,WA,98126,US,-122.371001,47.544998,553520,837882,1,1,1908,7,0,2,unknown,347.42892188
1-WA01048648,WA01048648,2000,250000,1250,100000,WA,98108,US,-122.302501,47.545026,1577474,1105356,1,3,2014,7,0,1,unknown,272.72928694
1-WA01047648,WA01047648,2000,250000,2000,100000,WA,98118,US,-122.289395,47.544465,664104,620857,2,3,1951,6,0,4,unknown,242.75197299
1-WA01047650,WA01047650,5000,250000,4000,100000,WA,98126,US,-122.372942,47.544466,1318880,701417,2,1,1995,8,0,1,unknown,361.84820056
1-WA01047656,WA01047656,2000,250000,1250,2250,WA,98126,US,-122.373412,47.544468,1798149,19044,1,1,2010,7,0,2,unknown,364.61037912
1-WA01048725,WA01048725,5000,250000,1250,100000,WA,98118,US,-122.289679,47.545071,1737637,839645,2,1,1986,2,1,3,unknown,232.07237291
1-WA01047674,WA01047674,3000,18510,3000,100000,WA,98106,US,-122.357463,47.544472,160008,153462,2,1,1973,9,0,8,unknown,264.61994941
1-WA01048749,WA01048749,5000,215929,1250,100000,WA,98106,US,-122.365409,47.54508,1303855,344930,1,1,1951,7,0,9,unknown,181.44729583
