accntnum,location,BLDG_DED,BLDG_LIMIT,CNT_DED,CNT_LIMIT,STATE,POSTCODE,COUNTRY,LON,LAT,BLDG_VALUE,CNT_VALUE,CONSTR_CODE,NUM_STORIES,YEAR_BUILT,foundationtype,BasementFinishType,FIRST_FLOOR_ELEV,BASE_FLOOD_ELEV,elev_ft
WA01047344,WA01047344,1500,200000,1500,50000,WA,98106,US,-122.363702,47.544299,200000,50000,1,1,1990,8,0,1,unknown,170.37443459
WA01047350,WA01047350,1500,200000,1500,50000,WA,98108,US,-122.320459,47.544302,200000,50000,1,1,1990,8,0,1,unknown,19.013665307
WA01047353,WA01047353,1500,200000,1500,50000,WA,98106,US,-122.356925,47.544304,200000,50000,1,1,1990,8,0,1,unknown,266.14705576
WA01047354,WA01047354,1500,200000,1500,50000,WA,98108,US,-122.298704,47.544304,200000,50000,1,1,1990,8,0,1,unknown,298.58848068
WA01047357,WA01047357,1500,200000,1500,50000,WA,98106,US,-122.361698,47.544305,200000,50000,1,1,1990,8,0,1,unknown,194.06285398
WA01047358,WA01047358,1500,200000,1500,50000,WA,98108,US,-122.297891,47.544305,200000,50000,1,1,1990,8,0,1,unknown,287.61942193
WA01047366,WA01047366,1500,200000,1500,50000,WA,98118,US,-122.281267,47.54431,200000,50000,1,1,1990,8,0,1,unknown,133.06236318
WA01047368,WA01047368,1500,200000,1500,50000,WA,98106,US,-122.356582,47.544311,200000,50000,1,1,1990,8,0,1,unknown,265.3781581
WA01047369,WA01047369,1500,200000,1500,50000,WA,98108,US,-122.298111,47.544311,200000,50000,1,1,1990,8,0,1,unknown,289.83177109
WA01047375,WA01047375,1500,200000,1500,50000,WA,98106,US,-122.359236,47.544316,200000,50000,1,1,1990,8,0,1,unknown,258.36584816
WA01047397,WA01047397,1500,200000,1500,50000,WA,98108,US,-122.298471,47.544329,200000,50000,1,1,1990,8,0,1,unknown,295.68518007
WA01047412,WA01047412,1500,200000,1500,50000,WA,98108,US,-122.298285,47.544341,200000,50000,1,1,1990,8,0,1,unknown,292.79389388
WA01047419,WA01047419,1500,200000,1500,50000,WA,98108,US,-122.302507,47.54435,200000,50000,1,1,1990,8,0,1,unknown,256.63018866
WA01047420,WA01047420,1500,200000,1500,50000,WA,98108,US,-122.298957,47.54435,200000,50000,1,1,1990,8,0,1,unknown,301.0580969
WA01047428,WA01047428,1500,200000,1500,50000,WA,98106,US,-122.355165,47.544353,200000,50000,1,1,1990,8,0,1,unknown,265.67625194
WA01047429,WA01047429,1500,200000,1500,50000,WA,98108,US,-122.319684,47.544353,200000,50000,1,1,1990,8,0,1,unknown,19.68093895
WA01047430,WA01047430,1500,200000,1500,50000,WA,98108,US,-122.303859,47.544353,200000,50000,1,1,1990,8,0,1,unknown,202.71090544
WA01047431,WA01047431,1500,200000,1500,50000,WA,98108,US,-122.303439,47.544353,200000,50000,1,1,1990,8,0,1,unknown,227.06831107
WA01047432,WA01047432,1500,200000,1500,50000,WA,98126,US,-122.374609,47.544355,200000,50000,1,1,1990,8,0,1,unknown,373.30168189
WA01047437,WA01047437,1500,200000,1500,50000,WA,98126,US,-122.374797,47.544357,200000,50000,1,1,1990,8,0,1,unknown,374.34819439
