accntnum,location,BLDG_DED,BLDG_LIMIT,CNT_DED,CNT_LIMIT,STATE,POSTCODE,COUNTRY,LON,LAT,BLDG_VALUE,CNT_VALUE,CONSTR_CODE,NUM_STORIES,YEAR_BUILT,foundationtype,BasementFinishType,FIRST_FLOOR_ELEV,BASE_FLOOD_ELEV,elev_ft
1-CO00766140,CO00766140,2000,25016,1000,26084,CO,80237,US,-104.888754,39.639422,386350,212794,1,2,1949,4,0,4,unknown,5584.4162056
1-CO00765875,CO00765875,1250,250000,1250,100000,CO,80237,US,-104.887506,39.639275,897540,487698,1,2,1925,6,0,7,unknown,5594.7825708
1-CO00766451,CO00766451,5000,250000,1250,100000,CO,80237,US,-104.892581,39.63956,1335992,1480841,1,1,2009,4,0,4,unknown,5553.0820215
1-CO00765290,CO00765290,1250,250000,0,0,CO,80237,US,-104.889231,39.638974,1634017,0,2,1,2000,6,0,6,unknown,5573.5007656
1-CO00765832,CO00765832,1250,250000,1250,100000,CO,80237,US,-104.906862,39.639262,890714,381372,2,3,1994,8,0,2,unknown,5609.7017412
1-CO00766095,CO00766095,2000,250000,1250,100000,CO,80237,US,-104.891155,39.639401,1518423,1156619,1,1,1955,7,0,8,unknown,5559.2500171
1-CO00766124,CO00766124,3000,250000,0,0,CO,80237,US,-104.890452,39.639414,1750065,0,2,2,1922,6,0,8,unknown,5565.5409622
1-CO00766255,CO00766255,2000,237708,1500,100000,CO,80237,US,-104.906874,39.639473,253773,1435890,2,1,1953,7,0,1,unknown,5605.5001663
1-CO00766316,CO00766316,3000,21080,1250,17292,CO,80237,US,-104.892013,39.639505,2046183,142141,2,3,1989,7,0,3,unknown,5556.081313
1-CO00766415,CO00766415,2000,250000,1250,62402,CO,80237,US,-104.892279,39.639547,1952240,652286,1,3,1998,4,0,4,unknown,5554.2378451
1-CO00766583,CO00766583,4000,250000,1500,2765,CO,80237,US,-104.88789,39.639607,1222437,1461281,1,3,1955,7,0,3,unknown,5595.2231121
1-CO00765732,CO00765732,3000,113752,0,0,CO,80111,US,-104.883553,39.639197,247436,0,2,3,1966,4,0,3,unknown,5618.3411804
1-CO00765296,CO00765296,4000,81491,1000,21466,CO,80237,US,-104.890967,39.638975,687463,1145669,2,2,1977,8,0,0,unknown,5565.1276518
1-CO00766120,CO00766120,3000,250000,1250,26743,CO,80237,US,-104.890764,39.639413,1995068,561410,2,1,1951,2,1,3,unknown,5561.8592298
1-CO00766137,CO00766137,3000,19432,3000,100000,CO,80111,US,-104.882451,39.639421,1195733,465414,1,2,1935,6,0,5,unknown,5613.0863082
1-CO00766149,CO00766149,10000,250000,10000,100000,CO,80237,US,-104.889028,39.639426,1768374,1418992,1,3,1999,8,0,2,unknown,5579.0523997
1-CO00766161,CO00766161,3000,250000,0,0,CO,80237,US,-104.888225,39.63943,343134,0,1,2,2005,6,0,8,unknown,5587.6970456
1-CO00766301,CO00766301,2000,186071,1500,100000,CO,80237,US,-104.906764,39.6395,639649,1132694,1,2,1933,7,0,8,unknown,5604.987535
1-CO00766640,CO00766640,4000,90379,1500,100000,CO,80237,US,-104.891632,39.639637,98681,778438,1,1,1995,7,0,1,unknown,5561.202819
1-CO00765673,CO00765673,1250,250000,1250,100000,CO,80237,US,-104.887716,39.639172,1262156,1394482,2,1,1964,9,0,7,unknown,5588.2601395
1-CO00765185,CO00765185,3000,250000,3000,100000,CO,80111,US,-104.88343,39.638914,1314511,1288548,2,3,1942,9,0,7,unknown,5619.3936772
1-CO00766072,CO00766072,1250,250000,1250,100000,CO,80237,US,-104.887274,39.639387,1467109,732480,2,3,1962,8,0,1,unknown,5598.036977
1-CO00765284,CO00765284,1500,125143,1250,31824,CO,80237,US,-104.891713,39.638973,575942,194993,2,3,2014,4,0,4,unknown,5559.0141247
1-CO00765287,CO00765287,10000,250000,10000,100000,CO,80237,US,-104.888986,39.638973,953950,464636,2,3,1910,7,0,1,unknown,5576.530897
1-CO00765289,CO00765289,4000,111914,0,0,CO,80237,US,-104.889731,39.638974,731942,0,1,2,1977,2,1,3,unknown,5570.4001454
1-CO00765297,CO00765297,3000,250000,0,0,CO,80237,US,-104.89048,39.638975,1574141,0,1,3,1943,2,1,3,unknown,5566.1937674
1-CO00765301,CO00765301,5000,250000,1500,76899,CO,80237,US,-104.891212,39.638976,279428,668866,2,3,1944,9,0,8,unknown,5562.0506635
