accntnum,location,BLDG_DED,BLDG_LIMIT,CNT_DED,CNT_LIMIT,STATE,POSTCODE,COUNTRY,LON,LAT,BLDG_VALUE,CNT_VALUE,CONSTR_CODE,NUM_STORIES,YEAR_BUILT,foundationtype,BasementFinishType,FIRST_FLOOR_ELEV,BASE_FLOOD_ELEV,elev_ft
CO00764953,CO00764953,1500,200000,1500,50000,CO,80237,US,-104.892286,39.638806,200000,50000,1,1,1990,8,0,1,unknown,5556.4309455
CO00765088,CO00765088,1500,200000,1500,50000,CO,80111,US,-104.883893,39.638864,200000,50000,1,1,1990,8,0,1,unknown,5618.1132999
CO00765123,CO00765123,1500,200000,1500,50000,CO,80237,US,-104.906911,39.638886,200000,50000,1,1,1990,8,0,1,unknown,5614.482427
CO00765185,CO00765185,1500,200000,1500,50000,CO,80111,US,-104.88343,39.638914,200000,50000,1,1,1990,8,0,1,unknown,5619.3936772
CO00765200,CO00765200,1500,200000,1500,50000,CO,80111,US,-104.882779,39.63892,200000,50000,1,1,1990,8,0,1,unknown,5617.4709081
CO00765276,CO00765276,1500,200000,1500,50000,CO,80237,US,-104.888492,39.63897,200000,50000,1,1,1990,8,0,1,unknown,5580.3604115
CO00765284,CO00765284,1500,200000,1500,50000,CO,80237,US,-104.891713,39.638973,200000,50000,1,1,1990,8,0,1,unknown,5559.0141247
CO00765285,CO00765285,1500,200000,1500,50000,CO,80237,US,-104.890722,39.638973,200000,50000,1,1,1990,8,0,1,unknown,5565.1572909
CO00765286,CO00765286,1500,200000,1500,50000,CO,80237,US,-104.889479,39.638973,200000,50000,1,1,1990,8,0,1,unknown,5570.6881015
CO00765287,CO00765287,1500,200000,1500,50000,CO,80237,US,-104.888986,39.638973,200000,50000,1,1,1990,8,0,1,unknown,5576.530897
CO00765288,CO00765288,1500,200000,1500,50000,CO,80237,US,-104.890235,39.638974,200000,50000,1,1,1990,8,0,1,unknown,5569.3528554
CO00765289,CO00765289,1500,200000,1500,50000,CO,80237,US,-104.889731,39.638974,200000,50000,1,1,1990,8,0,1,unknown,5570.4001454
CO00765290,CO00765290,1500,200000,1500,50000,CO,80237,US,-104.889231,39.638974,200000,50000,1,1,1990,8,0,1,unknown,5573.5007656
CO00765291,CO00765291,1500,200000,1500,50000,CO,80237,US,-104.888741,39.638974,200000,50000,1,1,1990,8,0,1,unknown,5576.901353
CO00765295,CO00765295,1500,200000,1500,50000,CO,80237,US,-104.891461,39.638975,200000,50000,1,1,1990,8,0,1,unknown,5561.2801156
CO00765296,CO00765296,1500,200000,1500,50000,CO,80237,US,-104.890967,39.638975,200000,50000,1,1,1990,8,0,1,unknown,5565.1276518
CO00765297,CO00765297,1500,200000,1500,50000,CO,80237,US,-104.89048,39.638975,200000,50000,1,1,1990,8,0,1,unknown,5566.1937674
CO00765298,CO00765298,1500,200000,1500,50000,CO,80237,US,-104.889983,39.638975,200000,50000,1,1,1990,8,0,1,unknown,5568.4545516
CO00765301,CO00765301,1500,200000,1500,50000,CO,80237,US,-104.891212,39.638976,200000,50000,1,1,1990,8,0,1,unknown,5562.0506635
CO00765302,CO00765302,1500,200000,1500,50000,CO,80237,US,-104.888215,39.638977,200000,50000,1,1,1990,8,0,1,unknown,5582.00884
CO00765318,CO00765318,1500,200000,1500,50000,CO,80237,US,-104.891979,39.638986,200000,50000,1,1,1990,8,0,1,unknown,5557.4506011
CO00765329,CO00765329,1500,200000,1500,50000,CO,80237,US,-104.906921,39.638993,200000,50000,1,1,1990,8,0,1,unknown,5613.2400976
CO00765395,CO00765395,1500,200000,1500,50000,CO,80237,US,-104.892238,39.639023,200000,50000,1,1,1990,8,0,1,unknown,5556.5567001
CO00765403,CO00765403,1500,200000,1500,50000,CO,80237,US,-104.906913,39.639026,200000,50000,1,1,1990,8,0,1,unknown,5613.2400976
CO00765450,CO00765450,1500,200000,1500,50000,CO,80237,US,-104.887941,39.639055,200000,50000,1,1,1990,8,0,1,unknown,5587.4859859
CO00765489,CO00765489,1500,200000,1500,50000,CO,80237,US,-104.892496,39.639079,200000,50000,1,1,1990,8,0,1,unknown,5555.6916345
CO00765581,CO00765581,1500,200000,1500,50000,CO,80237,US,-104.906916,39.639133,200000,50000,1,1,1990,8,0,1,unknown,5610.9264492
CO00765673,CO00765673,1500,200000,1500,50000,CO,80237,US,-104.887716,39.639172,200000,50000,1,1,1990,8,0,1,unknown,5588.2601395
CO00765690,CO00765690,1500,200000,1500,50000,CO,80237,US,-104.906884,39.639177,200000,50000,1,1,1990,8,0,1,unknown,5609.7017412
CO00765732,CO00765732,1500,200000,1500,50000,CO,80111,US,-104.883553,39.639197,200000,50000,1,1,1990,8,0,1,unknown,5618.3411804
CO00765832,CO00765832,1500,200000,1500,50000,CO,80237,US,-104.906862,39.639262,200000,50000,1,1,1990,8,0,1,unknown,5609.7017412
CO00765875,CO00765875,1500,200000,1500,50000,CO,80237,US,-104.887506,39.639275,200000,50000,1,1,1990,8,0,1,unknown,5594.7825708
CO00765974,CO00765974,1500,200000,1500,50000,CO,80237,US,-104.906907,39.639328,200000,50000,1,1,1990,8,0,1,unknown,5607.077709
CO00766032,CO00766032,1500,200000,1500,50000,CO,80237,US,-104.906907,39.639361,200000,50000,1,1,1990,8,0,1,unknown,5606.4821774
CO00766072,CO00766072,1500,200000,1500,50000,CO,80237,US,-104.887274,39.639387,200000,50000,1,1,1990,8,0,1,unknown,5598.036977
CO00766092,CO00766092,1500,200000,1500,50000,CO,80237,US,-104.889884,39.6394,200000,50000,1,1,1990,8,0,1,unknown,5568.1365594
CO00766095,CO00766095,1500,200000,1500,50000,CO,80237,US,-104.891155,39.639401,200000,50000,1,1,1990,8,0,1,unknown,5559.2500171
CO00766120,CO00766120,1500,200000,1500,50000,CO,80237,US,-104.890764,39.639413,200000,50000,1,1,1990,8,0,1,unknown,5561.8592298
CO00766124,CO00766124,1500,200000,1500,50000,CO,80237,US,-104.890452,39.639414,200000,50000,1,1,1990,8,0,1,unknown,5565.5409622
CO00766126,CO00766126,1500,200000,1500,50000,CO,80237,US,-104.891727,39.639415,200000,50000,1,1,1990,8,0,1,unknown,5556.2955781
