BldgDmgFnID,Description,m4,m3,m2,m1,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
1900,SFH 1-Story Deep Fnd Freshwater Inundation,0,0,0,0,9,22,30,34,39,43,48,51,54,57,59,61,63,64,66,68,69
1901,SFH 1-Story Deep Fnd Saltwater Inundation,0,0,0,0,11,29,38,44,51,56,63,66,71,75,77,79,81,84,86,88,89
1902,SFH 1-Story Deep Fnd 1ft-2.9ft Waves,2,2,3,4,14,32,42,48,56,61,68,72,77,81,84,86,89,91,94,96,97
1903,SFH 1-Story Deep Fnd 3ft and Greater Waves,5,8,10,12,20,38,50,58,66,73,82,86,92,97,100,100,100,100,100,100,100
2900,SFH 2-Story Deep Fnd Freshwater Inundation,0,0,0,0,6,17,22,26,29,32,36,38,41,43,44,46,47,48,50,51,52
2901,SFH 2-Story Deep Fnd Saltwater Inundation,0,0,0,0,8,22,29,33,38,42,47,50,53,56,58,60,61,63,65,66,67
2902,SFH 2-Story Deep Fnd 1ft-2.9ft Waves,0,0,0,1,10,23,33,41,50,57,61,65,69,72,75,77,80,82,84,85,87
2903,SFH 2-Story Deep Fnd 3ft and Greater Waves,0,0,2,2,13,27,43,60,76,90,100,100,100,100,100,100,100,100,100,100,100
1400,SFH 1-Story Shallow Fnd Freshwater Inundation,0,0,0,0,9,22,30,34,39,43,48,51,54,57,59,61,63,64,66,68,69
1401,SFH 1-Story Shallow Fnd Saltwater Inundation,0,0,0,0,11,29,38,44,51,56,63,66,71,75,77,79,81,84,86,88,89
1402,SFH 1-Story Shallow Fnd 1ft-2.9ft Waves,3,4,5,8,22,37,46,53,60,66,72,77,81,85,87,90,92,95,97,99,100
1403,SFH 1-Story Shallow Fnd 3ft and Greater Waves,8,10,12,20,38,50,58,66,73,82,86,92,97,100,100,100,100,100,100,100,100
2400,SFH 2-Story Shallow Fnd Freshwater Inundation,0,0,0,0,6,17,22,26,29,32,36,38,41,43,44,46,47,48,50,51,52
2401,SFH 2-Story Shallow Fnd Saltwater Inundation,0,0,0,0,8,22,29,33,38,42,47,50,53,56,58,60,61,63,65,66,67
2402,SFH 2-Story Shallow Fnd 1ft-2.9ft Waves,0,1,1,6,16,30,41,50,59,65,69,72,76,80,82,85,87,89,91,92,94
2403,SFH 2-Story Shallow Fnd 3ft and Greater Waves,0,2,2,13,27,43,60,76,90,100,100,100,100,100,100,100,100,100,100,100,100
1210,SFH 1-Story Basement Freshwater Inundation - Unfinished,0,0,3,5,14,27,35,39,44,48,53,56,59,62,64,66,68,69,71,73,74
1211,SFH 1-Story Basement Saltwater Inundation - Unfinished,0,0,5,7,16,34,43,49,56,61,68,71,76,80,82,84,86,89,91,93,94
1212,SFH 1-Story Basement 1ft-2.9ft Waves - Unfinished,8,9,13,16,29,44,53,60,67,74,80,84,89,92,93,95,96,97,98,99,100
1213,SFH 1-Story Basement 3ft and Greater Waves - Unfinished,16,18,20,25,43,55,63,71,78,87,91,97,100,100,100,100,100,100,100,100,100
1220,SFH 1-Story Basement Freshwater Inundation - Finished,0,0,13,15,24,37,45,49,54,58,63,66,69,72,74,76,78,79,81,83,84
1221,SFH 1-Story Basement Saltwater Inundation - Finished,0,0,15,17,26,44,53,59,66,71,78,81,86,90,92,94,96,99,100,100,100
1222,SFH 1-Story Basement 1ft-2.9ft Waves - Finished,8,9,18,21,34,49,58,65,72,79,85,89,94,97,98,100,100,100,100,100,100
1223,SFH 1-Story Basement 3ft and Greater Waves - Finished,16,18,20,25,43,55,63,71,78,87,91,97,100,100,100,100,100,100,100,100,100
2210,SFH 2-Story Basement Freshwater Inundation - Unfinished,0,0,2,3,9,20,25,29,32,35,39,41,44,46,47,49,50,51,53,54,55
2211,SFH 2-Story Basement Saltwater Inundation - Unfinished,0,0,5,7,11,25,32,36,41,45,50,53,56,59,61,63,64,66,68,69,70
2212,SFH 2-Story Basement 1ft-2.9ft Waves - Unfinished,6,7,11,14,23,38,50,60,70,77,79,81,82,84,84,85,86,87,88,89,89
2213,SFH 2-Story Basement 3ft and Greater Waves - Unfinished,12,14,16,21,35,51,68,84,98,100,100,100,100,100,100,100,100,100,100,100,100
2220,SFH 2-Story Basement Freshwater Inundation - Finished,0,0,12,13,19,30,35,39,42,45,49,51,54,56,57,59,60,61,63,64,65
2221,SFH 2-Story Basement Saltwater Inundation - Finished,0,0,15,17,21,35,42,46,51,55,60,63,66,69,71,73,74,76,78,79,80
2222,SFH 2-Story Basement 1ft-2.9ft Waves - Finished,6,7,16,19,28,43,55,65,75,82,84,86,87,89,89,90,91,92,93,94,94
2223,SFH 2-Story Basement 3ft and Greater Waves - Finished,12,14,16,21,35,51,68,84,98,100,100,100,100,100,100,100,100,100,100,100,100
