DDF_ID,Originator Source,ft12m,ft11m,ft10m,ft09m,ft08m,ft07m,ft06m,ft05m,ft04m,ft03m,ft02m,ft1_5m,ft01m,ft0_5m,ft00,ft0_5,ft01,ft1_5,ft02,ft03,ft04,ft05,ft06,ft07,ft08,ft09,ft10,ft11,ft12,ft13,ft14,ft15,ft16,ft17,ft18,ft19,ft20,ft21,ft22,ft23,ft24
1,USACE - IWR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,4,10.0,16,21.0,26,31.0,36,44,52,58,64,68,72,74,76,78,80,80,80,80,80,80,80,80,80,80,80,80,80
2,USACE - IWR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,2,6.0,10,14.0,18,21.0,24,32,38,42,48,52,56,60,64,66,70,72,72,74,74,76,76,78,78,80,80,82,82
3,USACE - IWR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,4,5.0,6,8.0,10,13.0,16,22,30,40,50,62,72,82,92,100,100,100,100,100,100,100,100,100,100,100,100,100,100
4,USACE - Chicago District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,6.0,12,18.0,24,28.5,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
5,USACE - Chicago District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,7,7.5,8,11.5,15,17.0,19,20.5,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
6,USACE - Chicago District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,1.0,2,10.5,19,25.5,32,41,47,51,53,55,56,62,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
7,USACE - Chicago District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,12.5,15,16.5,18,24.5,31,37.5,44,52,58,61,63,64,66,69,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
8,USACE - Chicago District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,4.0,8,9.5,11,14.5,18,23,28,33,39,44,50,54,58,62,66,70,74,78,78,78,78,78,78,78,78,78,78
9,USACE - Chicago District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,6,7.5,9,10.0,11,14.0,17,19.5,22,28,33,39,44,49,55,61,64,71,76,78,79,79,79,79,79,79,79,79,79,79,79
10,USACE - Chicago District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,1.0,2,12.0,22,29.0,36,45,57,66,71,77,79,82,84,86,87,89,90,91,92,92,92,93,93,93,93,93,93
11,USACE - Chicago District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,4.0,8,25.0,42,51.0,60,71,77,82,85,86,87,88,88,88,89,90,90,90,90,90,90,90,90,90,90,90,90
12,USACE - Chicago District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,2.0,4,14.0,24,29.0,34,40,47,53,56,58,58,58,61,66,68,76,81,86,90,100,100,100,100,100,100,100,100
13,USACE - New Orleans District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,21.0,42,52.5,63,82,85,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
14,USACE - New Orleans District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,47.5,95,95.0,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
15,USACE - New Orleans District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,12.5,25,31.0,37,51,51,55,55,55,55,55,73,81,87,90,93,93,93,93,93,93,93,93,93,93,93
16,USACE - New Orleans District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,47.5,95,95.0,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
17,USACE - St. Paul District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,13.5,27,35.5,44,54,63,68,73,75,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
18,USACE - St. Paul District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,13.5,27,35.5,44,54,63,68,73,75,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
19,USACE - Wilmington District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,7,8,8.5,9,9.0,9,15.0,21,26.0,31,43,54,67,70,73,76,78,81,82,84,85,86,87,88,100,100,100,100,100,100,100,100
20,USACE - Wilmington District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,4.5,9,15.0,21,26.0,31,37,43,51,57,63,68,74,80,81,83,84,86,87,88,100,100,100,100,100,100,100,100
21,USACE - Wilmington District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,1.0,2,4.0,6,8.0,10,15,18,21,23,24,28,34,44,54,63,73,76,79,82,85,86,87,88,89,90,91,92
22,USACE - Wilmington District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,10,13,13.0,13,13.5,14,20.0,26,32.0,38,52,64,78,81,85,88,91,95,96,97,99,100,100,100,100,100,100,100,100,100,100,100
23,USACE - Wilmington District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,5.5,11,17.5,24,30.0,36,43,46,52,59,66,73,80,87,88,90,92,94,96,100,100,100,100,100,100,100,100,100
24,USACE - Wilmington District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,1.0,2,6.5,11,13.5,16,20,24,28,30,32,38,46,54,63,72,82,85,89,92,95,96,97,98,98,99,100,100
