DDF_ID,Originator Source,ft08m,ft07m,ft06m,ft05m,ft04m,ft03m,ft02m,ft1_5m,ft01m,ft0_5m,ft00,ft0_5,ft01,ft1_5,ft02,ft03,ft04,ft05,ft06,ft07,ft08,ft09,ft10,ft11,ft12,ft13,ft14,ft15,ft16,ft17,ft18,ft19,ft20,ft21,ft22,ft23,ft24
1,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,2.0,4,17.5,31,40.0,49,65,76,85,90,92,93,94,95,95,96,97,97,97,98,98,98,98,98,98,98,98,98
2,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,41.5,83,87.0,91,94,95,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,1.5,3,5.0,7,11,16,22,29,36,44,52,60,69,79,88,100,100,100,100,100,100,100,100,100,100,100
4,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,3.5,7,10.5,14,21,27,35,42,49,57,65,73,82,92,100,100,100,100,100,100,100,100,100,100,100,100
5,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,9.0,18,25.5,33,65,88,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,10.0,20,30.0,40,60,80,95,97,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
7,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,10.0,20,25.0,30,50,70,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
8,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,30.0,60,80.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,7.5,15,22.5,30,50,75,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,15,15,15,15,25,25,25,25,50,50,50,50,75,75,100,100,100,100,100,100,100
11,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,25.0,50,67.5,85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,22.5,45,62.5,80,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
13,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,27.0,54,58.5,63,75,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
14,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,33.0,66,77.0,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
15,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,10.0,20,27.5,35,50,65,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
16,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,11.0,22,30.5,39,58,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
17,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,12.5,25,37.0,49,64,77,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
18,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,5.0,10,50.0,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
19,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,10.0,20,30.0,40,60,81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
20,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,50.0,100,100.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
21,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,12.5,25,35.0,45,65,85,85,85,85,85,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
