DDF_ID,Originator Source,ft12m,ft11m,ft10m,ft09m,ft08m,ft07m,ft06m,ft05m,ft04m,ft03m,ft02m,ft1_5m,ft01m,ft0_5m,ft00,ft0_5,ft01,ft1_5,ft02,ft03,ft04,ft05,ft06,ft07,ft08,ft09,ft10,ft11,ft12,ft13,ft14,ft15,ft16,ft17,ft18,ft19,ft20,ft21,ft22,ft23,ft24
1,USACE - Chicago District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,7.5,15.0,15.5,16.0,20.5,25.0,28.0,29,31.0,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60
2,USACE - Chicago District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,6.0,8,10.0,12.0,13.5,15.0,17.5,20.0,23.0,28,33.0,37,43,48,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81
3,USACE - Chicago District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,1.5,3.0,6.0,9.0,11.0,13.0,25.0,27,28.0,33,34,41,43,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
4,USACE - Chicago District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,4.0,5,5.5,6.0,11.0,16.0,17.5,19.0,22.0,27,32.0,35,36,44,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78
5,USACE - Chicago District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,4.0,8.0,9.0,10.0,11.5,13.0,18.0,20,22.0,24,26,30,34,38,40,42,44,45,46,47,48,49,50,51,52,53,54,55
6,USACE - Chicago District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,4.0,5,6.0,7.0,9.0,11.0,14.0,17.0,22.0,28,33.0,35,38,40,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74
7,USACE - Chicago District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,5.0,10.0,27.0,44.0,53.5,63.0,73.0,78,80.0,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
8,USACE - Chicago District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,7.5,15.0,15.5,16.0,20.5,25.0,28.0,29,31.0,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60
9,USACE - Chicago District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,6.0,8,10.0,12.0,13.5,15.0,17.5,20.0,23.0,28,33.0,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70
10,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,5.0,10.0,19.0,28.0,31.5,35.0,41.0,43,46.0,48,49,50,50,50,51,51,52,53,55,57,58,60,62,64,66,68,70,72
11,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,5.0,10.0,15.5,21.0,24.0,27.0,32.0,37,43.0,46,50,54,58,60,63,67,70,74,79,82,83,84,85,86,87,88,89,90
12,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,2.5,5.0,13.0,21.0,24.0,27.0,31.0,34,37.0,39,40,40,42,44,47,49,52,55,58,60,62,65,67,69,71,73,75,77
13,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,7.0,14.0,16.5,19.0,25.0,31.0,54.0,93,96.0,96,97,97,97,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
14,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,2.5,5.0,11.5,18.0,21.5,25.0,30.0,34,38.0,41,43,46,48,50,52,54,55,57,59,59,60,63,65,66,67,68,69,70
15,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,2.5,5.0,16.5,28.0,28.5,29.0,31.0,36,37.0,39,40,41,42,44,46,48,52,55,58,61,64,68,69,70,71,72,73,74
16,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,1.5,3.0,4.0,5.0,6.0,7,9.0,12,14,18,21,26,31,36,41,46,50,54,58,62,66,70,74,78,82,86
17,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.5,1.0,1.5,2.0,2.0,2,3.0,5,6,9,11,15,18,22,26,30,34,39,43,48,53,58,63,68,73,78
18,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,2.0,4.0,5.5,7.0,10.0,12,15.0,18,22,26,31,37,43,50,56,61,65,69,72,76,79,82,85,88,91,94
19,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,3.5,7.0,8.5,10.0,14.0,15,15.0,16,18,20,23,26,30,34,38,42,47,52,57,62,67,72,77,82,87,92
20,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,3.5,7.0,8.5,10.0,14.0,15,15.0,16,18,20,23,26,30,34,38,42,47,52,57,62,67,72,77,82,87,92
21,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.5,1.0,5.0,9.0,11.5,14.0,16.0,18,20.0,23,26,30,34,38,42,47,51,55,58,61,64,67,69,71,74,76,78,80
22,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,8.5,17.0,17.0,17.0,18.0,19,21.0,23,25,28,32,35,39,43,47,52,56,61,65,70,75,80,85,90,95,100
23,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,8.5,17.0,17.0,17.0,18.0,19,21.0,23,25,28,32,35,39,43,49,52,56,61,65,70,75,80,85,90,95,100
24,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.5,1.0,1.5,2.0,5.0,8,12.0,17,22,28,36,43,50,58,66,75,83,92,100,100,100,100,100,100,100,100
25,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,6.0,12.0,14.5,17.0,19.0,21.0,25.0,28,31.0,34,36,38,41,43,45,47,48,50,52,54,55,57,59,61,63,65,67,69
26,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,7.0,14.0,17.0,20.0,26.0,32.0,33.0,34,36.0,38,42,50,56,60,63,67,70,73,76,78,81,84,86,88,90,92,94,96
27,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,1.0,2.0,2.5,3.0,5.0,8,10.0,12,15,17,20,23,27,31,35,40,45,50,55,60,66,71,76,81,86,91
28,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,1.5,3.0,5.0,7.0,7.0,7,9.0,11,14,17,20,23,26,30,33,37,40,44,48,52,57,61,65,69,73,77
29,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,30.0,60.0,60.0,60,60.0,60,60,60,60,60,60,80,80,80,80,80,80,80,80,80,80,80,80,80
30,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,4.0,8.0,9.0,10.0,11.0,13,15.0,18,21,24,28,32,37,41,46,51,56,61,66,71,76,81,86,91,96,100
31,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,10.0,20.0,21.0,22.0,24.0,26,27.0,28,29,30,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
32,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.5,1.0,3.0,5.0,5.0,5,7.0,8,11,14,18,22,27,33,38,45,51,57,63,68,73,78,83,88,93,98
33,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,7.5,15.0,17.5,20.0,30.0,35,40.0,45,50,60,70,80,85,90,95,100,100,100,100,100,100,100,100,100,100,100
