construction_type,occupancy_type,story_min,story_max,sqft_min,sqft_max,foundation_type,flood_peril_type,damage_function_id,Duration,Base Type
C,AGR1,,,,,BASEMENT,RLL,894,Long Duration,BASE
M,AGR1,,,,,BASEMENT,RLL,894,Long Duration,BASE
S,AGR1,,,,,BASEMENT,RLL,894,Long Duration,BASE
W,AGR1,,,,,BASEMENT,RLL,894,Long Duration,BASE
C,AGR1,,,,,BASEMENT,RHL,894,Long Duration,BASE
M,AGR1,,,,,BASEMENT,RHL,894,Long Duration,BASE
S,AGR1,,,,,BASEMENT,RHL,894,Long Duration,BASE
W,AGR1,,,,,BASEMENT,RHL,894,Long Duration,BASE
C,AGR1,,,,,SHALLOW,RLL,894,Long Duration,NOBASE
M,AGR1,,,,,SHALLOW,RLL,894,Long Duration,NOBASE
S,AGR1,,,,,SHALLOW,RLL,894,Long Duration,NOBASE
W,AGR1,,,,,SHALLOW,RLL,894,Long Duration,NOBASE
C,AGR1,,,,,SHALLOW,RHL,894,Long Duration,NOBASE
M,AGR1,,,,,SHALLOW,RHL,894,Long Duration,NOBASE
S,AGR1,,,,,SHALLOW,RHL,894,Long Duration,NOBASE
W,AGR1,,,,,SHALLOW,RHL,894,Long Duration,NOBASE
C,AGR1,,,,,SLAB,RLL,894,Long Duration,NOBASE
M,AGR1,,,,,SLAB,RLL,894,Long Duration,NOBASE
S,AGR1,,,,,SLAB,RLL,894,Long Duration,NOBASE
W,AGR1,,,,,SLAB,RLL,894,Long Duration,NOBASE
C,AGR1,,,,,SLAB,RHL,894,Long Duration,NOBASE
M,AGR1,,,,,SLAB,RHL,894,Long Duration,NOBASE
S,AGR1,,,,,SLAB,RHL,894,Long Duration,NOBASE
W,AGR1,,,,,SLAB,RHL,894,Long Duration,NOBASE
C,AGR1,,,,,PILE,RLL,894,Long Duration,NOBASE
M,AGR1,,,,,PILE,RLL,894,Long Duration,NOBASE
S,AGR1,,,,,PILE,RLL,894,Long Duration,NOBASE
W,AGR1,,,,,PILE,RLL,894,Long Duration,NOBASE
C,AGR1,,,,,PILE,RHL,894,Long Duration,NOBASE
M,AGR1,,,,,PILE,RHL,894,Long Duration,NOBASE
S,AGR1,,,,,PILE,RHL,894,Long Duration,NOBASE
W,AGR1,,,,,PILE,RHL,894,Long Duration,NOBASE
C,AGR1,,,,,BASEMENT,RLS,893,Short Duration,BASE
M,AGR1,,,,,BASEMENT,RLS,893,Short Duration,BASE
S,AGR1,,,,,BASEMENT,RLS,893,Short Duration,BASE
W,AGR1,,,,,BASEMENT,RLS,893,Short Duration,BASE
C,AGR1,,,,,BASEMENT,RHS,893,Short Duration,BASE
M,AGR1,,,,,BASEMENT,RHS,893,Short Duration,BASE
S,AGR1,,,,,BASEMENT,RHS,893,Short Duration,BASE
W,AGR1,,,,,BASEMENT,RHS,893,Short Duration,BASE
C,AGR1,,,,,SHALLOW,RLS,893,Short Duration,NOBASE
M,AGR1,,,,,SHALLOW,RLS,893,Short Duration,NOBASE
S,AGR1,,,,,SHALLOW,RLS,893,Short Duration,NOBASE
W,AGR1,,,,,SHALLOW,RLS,893,Short Duration,NOBASE
C,AGR1,,,,,SHALLOW,RHS,893,Short Duration,NOBASE
M,AGR1,,,,,SHALLOW,RHS,893,Short Duration,NOBASE
S,AGR1,,,,,SHALLOW,RHS,893,Short Duration,NOBASE
W,AGR1,,,,,SHALLOW,RHS,893,Short Duration,NOBASE
C,AGR1,,,,,SLAB,RLS,893,Short Duration,NOBASE
M,AGR1,,,,,SLAB,RLS,893,Short Duration,NOBASE
S,AGR1,,,,,SLAB,RLS,893,Short Duration,NOBASE
W,AGR1,,,,,SLAB,RLS,893,Short Duration,NOBASE
C,AGR1,,,,,SLAB,RHS,893,Short Duration,NOBASE
M,AGR1,,,,,SLAB,RHS,893,Short Duration,NOBASE
S,AGR1,,,,,SLAB,RHS,893,Short Duration,NOBASE
W,AGR1,,,,,SLAB,RHS,893,Short Duration,NOBASE
C,AGR1,,,,,PILE,RLS,893,Short Duration,NOBASE
M,AGR1,,,,,PILE,RLS,893,Short Duration,NOBASE
S,AGR1,,,,,PILE,RLS,893,Short Duration,NOBASE
W,AGR1,,,,,PILE,RLS,893,Short Duration,NOBASE
C,AGR1,,,,,PILE,RHS,893,Short Duration,NOBASE
M,AGR1,,,,,PILE,RHS,893,Short Duration,NOBASE
S,AGR1,,,,,PILE,RHS,893,Short Duration,NOBASE
W,AGR1,,,,,PILE,RHS,893,Short Duration,NOBASE
C,COM1,,,,,BASEMENT,RLL,1399,Long Duration,BASE
M,COM1,,,,,BASEMENT,RLL,1399,Long Duration,BASE
S,COM1,,,,,BASEMENT,RLL,1399,Long Duration,BASE
W,COM1,,,,,BASEMENT,RLL,1399,Long Duration,BASE
C,COM1,,,,,BASEMENT,RHL,1399,Long Duration,BASE
M,COM1,,,,,BASEMENT,RHL,1399,Long Duration,BASE
S,COM1,,,,,BASEMENT,RHL,1399,Long Duration,BASE
W,COM1,,,,,BASEMENT,RHL,1399,Long Duration,BASE
C,COM1,,,,,SHALLOW,RLL,1399,Long Duration,NOBASE
M,COM1,,,,,SHALLOW,RLL,1399,Long Duration,NOBASE
S,COM1,,,,,SHALLOW,RLL,1399,Long Duration,NOBASE
W,COM1,,,,,SHALLOW,RLL,1399,Long Duration,NOBASE
C,COM1,,,,,SHALLOW,RHL,1399,Long Duration,NOBASE
M,COM1,,,,,SHALLOW,RHL,1399,Long Duration,NOBASE
S,COM1,,,,,SHALLOW,RHL,1399,Long Duration,NOBASE
W,COM1,,,,,SHALLOW,RHL,1399,Long Duration,NOBASE
C,COM1,,,,,SLAB,RLL,1399,Long Duration,NOBASE
M,COM1,,,,,SLAB,RLL,1399,Long Duration,NOBASE
S,COM1,,,,,SLAB,RLL,1399,Long Duration,NOBASE
W,COM1,,,,,SLAB,RLL,1399,Long Duration,NOBASE
C,COM1,,,,,SLAB,RHL,1399,Long Duration,NOBASE
M,COM1,,,,,SLAB,RHL,1399,Long Duration,NOBASE
S,COM1,,,,,SLAB,RHL,1399,Long Duration,NOBASE
W,COM1,,,,,SLAB,RHL,1399,Long Duration,NOBASE
C,COM1,,,,,PILE,RLL,1399,Long Duration,NOBASE
M,COM1,,,,,PILE,RLL,1399,Long Duration,NOBASE
S,COM1,,,,,PILE,RLL,1399,Long Duration,NOBASE
W,COM1,,,,,PILE,RLL,1399,Long Duration,NOBASE
C,COM1,,,,,PILE,RHL,1399,Long Duration,NOBASE
M,COM1,,,,,PILE,RHL,1399,Long Duration,NOBASE
S,COM1,,,,,PILE,RHL,1399,Long Duration,NOBASE
W,COM1,,,,,PILE,RHL,1399,Long Duration,NOBASE
C,COM1,,,,,BASEMENT,RLS,1397,Short Duration,BASE
M,COM1,,,,,BASEMENT,RLS,1397,Short Duration,BASE
S,COM1,,,,,BASEMENT,RLS,1397,Short Duration,BASE
W,COM1,,,,,BASEMENT,RLS,1397,Short Duration,BASE
C,COM1,,,,,BASEMENT,RHS,1397,Short Duration,BASE
M,COM1,,,,,BASEMENT,RHS,1397,Short Duration,BASE
S,COM1,,,,,BASEMENT,RHS,1397,Short Duration,BASE
W,COM1,,,,,BASEMENT,RHS,1397,Short Duration,BASE
C,COM1,,,,,SHALLOW,RLS,1397,Short Duration,NOBASE
M,COM1,,,,,SHALLOW,RLS,1397,Short Duration,NOBASE
S,COM1,,,,,SHALLOW,RLS,1397,Short Duration,NOBASE
W,COM1,,,,,SHALLOW,RLS,1397,Short Duration,NOBASE
C,COM1,,,,,SHALLOW,RHS,1397,Short Duration,NOBASE
M,COM1,,,,,SHALLOW,RHS,1397,Short Duration,NOBASE
S,COM1,,,,,SHALLOW,RHS,1397,Short Duration,NOBASE
W,COM1,,,,,SHALLOW,RHS,1397,Short Duration,NOBASE
C,COM1,,,,,SLAB,RLS,1397,Short Duration,NOBASE
M,COM1,,,,,SLAB,RLS,1397,Short Duration,NOBASE
S,COM1,,,,,SLAB,RLS,1397,Short Duration,NOBASE
W,COM1,,,,,SLAB,RLS,1397,Short Duration,NOBASE
C,COM1,,,,,SLAB,RHS,1397,Short Duration,NOBASE
M,COM1,,,,,SLAB,RHS,1397,Short Duration,NOBASE
S,COM1,,,,,SLAB,RHS,1397,Short Duration,NOBASE
W,COM1,,,,,SLAB,RHS,1397,Short Duration,NOBASE
C,COM1,,,,,PILE,RLS,1397,Short Duration,NOBASE
M,COM1,,,,,PILE,RLS,1397,Short Duration,NOBASE
S,COM1,,,,,PILE,RLS,1397,Short Duration,NOBASE
W,COM1,,,,,PILE,RLS,1397,Short Duration,NOBASE
C,COM1,,,,,PILE,RHS,1397,Short Duration,NOBASE
M,COM1,,,,,PILE,RHS,1397,Short Duration,NOBASE
S,COM1,,,,,PILE,RHS,1397,Short Duration,NOBASE
W,COM1,,,,,PILE,RHS,1397,Short Duration,NOBASE
C,COM10,,,,,BASEMENT,RLL,876,Long Duration,BASE
M,COM10,,,,,BASEMENT,RLL,876,Long Duration,BASE
S,COM10,,,,,BASEMENT,RLL,876,Long Duration,BASE
W,COM10,,,,,BASEMENT,RLL,876,Long Duration,BASE
C,COM10,,,,,BASEMENT,RHL,876,Long Duration,BASE
M,COM10,,,,,BASEMENT,RHL,876,Long Duration,BASE
S,COM10,,,,,BASEMENT,RHL,876,Long Duration,BASE
W,COM10,,,,,BASEMENT,RHL,876,Long Duration,BASE
C,COM10,,,,,SHALLOW,RLL,876,Long Duration,NOBASE
M,COM10,,,,,SHALLOW,RLL,876,Long Duration,NOBASE
S,COM10,,,,,SHALLOW,RLL,876,Long Duration,NOBASE
W,COM10,,,,,SHALLOW,RLL,876,Long Duration,NOBASE
C,COM10,,,,,SHALLOW,RHL,876,Long Duration,NOBASE
M,COM10,,,,,SHALLOW,RHL,876,Long Duration,NOBASE
S,COM10,,,,,SHALLOW,RHL,876,Long Duration,NOBASE
W,COM10,,,,,SHALLOW,RHL,876,Long Duration,NOBASE
C,COM10,,,,,SLAB,RLL,876,Long Duration,NOBASE
M,COM10,,,,,SLAB,RLL,876,Long Duration,NOBASE
S,COM10,,,,,SLAB,RLL,876,Long Duration,NOBASE
W,COM10,,,,,SLAB,RLL,876,Long Duration,NOBASE
C,COM10,,,,,SLAB,RHL,876,Long Duration,NOBASE
M,COM10,,,,,SLAB,RHL,876,Long Duration,NOBASE
S,COM10,,,,,SLAB,RHL,876,Long Duration,NOBASE
W,COM10,,,,,SLAB,RHL,876,Long Duration,NOBASE
C,COM10,,,,,PILE,RLL,876,Long Duration,NOBASE
M,COM10,,,,,PILE,RLL,876,Long Duration,NOBASE
S,COM10,,,,,PILE,RLL,876,Long Duration,NOBASE
W,COM10,,,,,PILE,RLL,876,Long Duration,NOBASE
C,COM10,,,,,PILE,RHL,876,Long Duration,NOBASE
M,COM10,,,,,PILE,RHL,876,Long Duration,NOBASE
S,COM10,,,,,PILE,RHL,876,Long Duration,NOBASE
W,COM10,,,,,PILE,RHL,876,Long Duration,NOBASE
C,COM10,,,,,BASEMENT,RLS,875,Short Duration,BASE
M,COM10,,,,,BASEMENT,RLS,875,Short Duration,BASE
S,COM10,,,,,BASEMENT,RLS,875,Short Duration,BASE
W,COM10,,,,,BASEMENT,RLS,875,Short Duration,BASE
C,COM10,,,,,BASEMENT,RHS,875,Short Duration,BASE
M,COM10,,,,,BASEMENT,RHS,875,Short Duration,BASE
S,COM10,,,,,BASEMENT,RHS,875,Short Duration,BASE
W,COM10,,,,,BASEMENT,RHS,875,Short Duration,BASE
C,COM10,,,,,SHALLOW,RLS,875,Short Duration,NOBASE
M,COM10,,,,,SHALLOW,RLS,875,Short Duration,NOBASE
S,COM10,,,,,SHALLOW,RLS,875,Short Duration,NOBASE
W,COM10,,,,,SHALLOW,RLS,875,Short Duration,NOBASE
C,COM10,,,,,SHALLOW,RHS,875,Short Duration,NOBASE
M,COM10,,,,,SHALLOW,RHS,875,Short Duration,NOBASE
S,COM10,,,,,SHALLOW,RHS,875,Short Duration,NOBASE
W,COM10,,,,,SHALLOW,RHS,875,Short Duration,NOBASE
C,COM10,,,,,SLAB,RLS,875,Short Duration,NOBASE
M,COM10,,,,,SLAB,RLS,875,Short Duration,NOBASE
S,COM10,,,,,SLAB,RLS,875,Short Duration,NOBASE
W,COM10,,,,,SLAB,RLS,875,Short Duration,NOBASE
C,COM10,,,,,SLAB,RHS,875,Short Duration,NOBASE
M,COM10,,,,,SLAB,RHS,875,Short Duration,NOBASE
S,COM10,,,,,SLAB,RHS,875,Short Duration,NOBASE
W,COM10,,,,,SLAB,RHS,875,Short Duration,NOBASE
C,COM10,,,,,PILE,RLS,875,Short Duration,NOBASE
M,COM10,,,,,PILE,RLS,875,Short Duration,NOBASE
S,COM10,,,,,PILE,RLS,875,Short Duration,NOBASE
W,COM10,,,,,PILE,RLS,875,Short Duration,NOBASE
