occupancy_type,foundation_type,flood_peril_type,damage_function_id
AGR1,BASEMENT,CHW,116
AGR1,BASEMENT,CMV,116
AGR1,BASEMENT,CST,116
AGR1,BASEMENT,RHL,116
AGR1,BASEMENT,RHS,116
AGR1,BASEMENT,RLL,116
AGR1,BASEMENT,RLS,116
AGR1,PILE,CHW,116
AGR1,PILE,CMV,116
AGR1,PILE,CST,116
AGR1,PILE,RHL,116
AGR1,PILE,RHS,116
AGR1,PILE,RLL,116
AGR1,PILE,RLS,116
AGR1,SHALLOW,CHW,116
AGR1,SHALLOW,CMV,116
AGR1,SHALLOW,CST,116
AGR1,SHALLOW,RHL,116
AGR1,SHALLOW,RHS,116
AGR1,SHALLOW,RLL,116
AGR1,SHALLOW,RLS,116
AGR1,SLAB,CHW,116
AGR1,SLAB,CMV,116
AGR1,SLAB,CST,116
AGR1,SLAB,RHL,116
AGR1,SLAB,RHS,116
AGR1,SLAB,RLL,116
AGR1,SLAB,RLS,116
COM1,BASEMENT,CHW,1
COM1,BASEMENT,CMV,1
COM1,BASEMENT,CST,1
COM1,BASEMENT,RHL,1
COM1,BASEMENT,RHS,1
COM1,BASEMENT,RLL,1
COM1,BASEMENT,RLS,1
COM1,PILE,CHW,1
COM1,PILE,CMV,1
COM1,PILE,CST,1
COM1,PILE,RHL,1
COM1,PILE,RHS,1
COM1,PILE,RLL,1
COM1,PILE,RLS,1
COM1,SHALLOW,CHW,1
COM1,SHALLOW,CMV,1
COM1,SHALLOW,CST,1
COM1,SHALLOW,RHL,1
COM1,SHALLOW,RHS,1
COM1,SHALLOW,RLL,1
COM1,SHALLOW,RLS,1
COM1,SLAB,CHW,1
COM1,SLAB,CMV,1
COM1,SLAB,CST,1
COM1,SLAB,RHL,1
COM1,SLAB,RHS,1
COM1,SLAB,RLL,1
COM1,SLAB,RLS,1
COM2,BASEMENT,CHW,46
COM2,BASEMENT,CMV,46
COM2,BASEMENT,CST,46
COM2,BASEMENT,RHL,46
COM2,BASEMENT,RHS,46
COM2,BASEMENT,RLL,46
COM2,BASEMENT,RLS,46
COM2,PILE,CHW,46
COM2,PILE,CMV,46
COM2,PILE,CST,46
COM2,PILE,RHL,46
COM2,PILE,RHS,46
COM2,PILE,RLL,46
COM2,PILE,RLS,46
COM2,SHALLOW,CHW,46
COM2,SHALLOW,CMV,46
COM2,SHALLOW,CST,46
COM2,SHALLOW,RHL,46
COM2,SHALLOW,RHS,46
COM2,SHALLOW,RLL,46
COM2,SHALLOW,RLS,46
COM2,SLAB,CHW,46
COM2,SLAB,CMV,46
COM2,SLAB,CST,46
COM2,SLAB,RHL,46
COM2,SLAB,RHS,46
COM2,SLAB,RLL,46
COM2,SLAB,RLS,46
IND1,BASEMENT,CHW,70
IND1,BASEMENT,CMV,70
IND1,BASEMENT,CST,70
IND1,BASEMENT,RHL,70
IND1,BASEMENT,RHS,70
IND1,BASEMENT,RLL,70
IND1,BASEMENT,RLS,70
IND1,PILE,CHW,70
IND1,PILE,CMV,70
IND1,PILE,CST,70
IND1,PILE,RHL,70
IND1,PILE,RHS,70
IND1,PILE,RLL,70
IND1,PILE,RLS,70
IND1,SHALLOW,CHW,70
IND1,SHALLOW,CMV,70
IND1,SHALLOW,CST,70
IND1,SHALLOW,RHL,70
IND1,SHALLOW,RHS,70
IND1,SHALLOW,RLL,70
IND1,SHALLOW,RLS,70
IND1,SLAB,CHW,70
IND1,SLAB,CMV,70
IND1,SLAB,CST,70
IND1,SLAB,RHL,70
IND1,SLAB,RHS,70
IND1,SLAB,RLL,70
IND1,SLAB,RLS,70
IND2,BASEMENT,CHW,81
IND2,BASEMENT,CMV,81
