ddf_id,comment,depth_m12_0,depth_m11_0,depth_m10_0,depth_m9_0,depth_m8_0,depth_m7_0,depth_m6_0,depth_m5_0,depth_m4_0,depth_m3_0,depth_m2_0,depth_m1_5,depth_m1_0,depth_m0_5,depth_0_0,depth_0_5,depth_1_0,depth_1_5,depth_2_0,depth_3_0,depth_4_0,depth_5_0,depth_6_0,depth_7_0,depth_8_0,depth_9_0,depth_10_0,depth_11_0,depth_12_0,depth_13_0,depth_14_0,depth_15_0,depth_16_0,depth_17_0,depth_18_0,depth_19_0,depth_20_0,depth_21_0,depth_22_0,depth_23_0,depth_24_0
1,"Matches FEMA_FIMA_3, Matches BCA Toolkit up to 15'",,,,,,,,,0.0,0.0,0.0,,0.0,,15.0,,16.0,,25.0,28.0,29.0,31.0,40.0,43.0,43.0,45.0,46.0,47.0,47.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0
2,"Matches FEMA_FIMA_3, Matches BCA Toolkit up to 15'",,,,,,,,,0.0,0.0,4.0,,8.0,,12.0,,15.0,,20.0,23.0,28.0,33.0,37.0,43.0,48.0,51.0,53.0,55.0,57.0,59.0,61.0,63.0,65.0,67.0,69.0,71.0,73.0,75.0,77.0,79.0,81.0
3,"Matches FEMA_FIMA_3, Matches BCA Toolkit up to 15'",,,,,,,,,0.0,0.0,0.0,,0.0,,3.0,,9.0,,13.0,25.0,27.0,28.0,33.0,34.0,41.0,43.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0
4,"Matches FEMA_FIMA_3, Matches BCA Toolkit up to 15'",,,,,,,,,0.0,0.0,3.0,,5.0,,6.0,,16.0,,19.0,22.0,27.0,32.0,35.0,36.0,44.0,48.0,50.0,52.0,54.0,56.0,58.0,60.0,62.0,64.0,66.0,68.0,70.0,72.0,74.0,76.0,78.0
5,"Matches FEMA_FIMA_3, Matches BCA Toolkit up to 15'",,,,,,,,,0.0,0.0,0.0,,0.0,,8.0,,10.0,,13.0,18.0,20.0,22.0,24.0,26.0,30.0,34.0,38.0,40.0,42.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0
6,"Matches FEMA_FIMA_3, Matches BCA Toolkit up to 15'",,,,,,,,,0.0,0.0,3.0,,5.0,,7.0,,11.0,,17.0,22.0,28.0,33.0,35.0,38.0,40.0,44.0,46.0,48.0,50.0,52.0,54.0,56.0,58.0,60.0,62.0,64.0,66.0,68.0,70.0,72.0,74.0
7,"Matches FEMA_FIMA_3, Matches BCA Toolkit up to 15'",,,,,,,,,0.0,0.0,0.0,,0.0,,10.0,,44.0,,63.0,73.0,78.0,80.0,81.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0
8,"Matches FEMA_FIMA_3, Matches BCA Toolkit up to 15'",,,,,,,,,0.0,0.0,0.0,,0.0,,15.0,,16.0,,25.0,28.0,29.0,31.0,40.0,43.0,43.0,45.0,46.0,47.0,47.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0
9,"Matches FEMA_FIMA_3, Matches BCA Toolkit up to 15'",,,,,,,,,0.0,0.0,4.0,,8.0,,12.0,,15.0,,20.0,23.0,28.0,33.0,37.0,43.0,48.0,51.0,53.0,55.0,57.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0
10,,,,,,,,,,0.0,0.0,0.0,,0.0,,10.0,,28.0,,35.0,41.0,43.0,46.0,48.0,49.0,50.0,50.0,50.0,51.0,51.0,52.0,53.0,55.0,57.0,58.0,60.0,62.0,64.0,66.0,68.0,70.0,72.0
11,,,,,,,,,,0.0,0.0,0.0,,0.0,,10.0,,21.0,,27.0,32.0,37.0,43.0,46.0,50.0,54.0,58.0,60.0,63.0,67.0,70.0,74.0,79.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0
12,,,,,,,,,,0.0,0.0,0.0,,0.0,,5.0,,21.0,,27.0,31.0,34.0,37.0,39.0,40.0,40.0,42.0,44.0,47.0,49.0,52.0,55.0,58.0,60.0,62.0,65.0,67.0,69.0,71.0,73.0,75.0,77.0
13,,,,,,,,,,0.0,0.0,0.0,,0.0,,14.0,,19.0,,31.0,54.0,93.0,96.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
